CoM ID,map_id,address,description,pic,link,lat,lng,icon,anim,title,infoopen,category,approved,retina,type,did,other_data,Custom Field:Scientific Name,Custom Field:Genus,Custom Field:Family,Custom Field:Year Planted,Custom Field:Age of tree,Custom Field:Age Description,Custom Field:Useful Life Expectency,Custom Field:Located in
1036592,6,"-37.80104434, 144.9717244",,,,-37.80104434,144.9717244,,0,Peppercorn Tree,0,Schinus,1,0,0,,,Schinus molle,Schinus,Anacardiaceae,1998,27,Semi-Mature,31-60 years,Park
1070068,6,"-37.79514138, 144.9171434",,,,-37.79514138,144.9171434,,0,Peppercorn Tree,0,Schinus,1,0,0,,,Schinus molle,Schinus,Anacardiaceae,2006,19,Semi-Mature,61+ years,Park
1359218,6,"-37.81916583, 144.942843",,,,-37.81916583,144.942843,,0,Peppercorn Tree,0,Schinus,1,0,0,,,Schinus molle,Schinus,Anacardiaceae,2009,16,Semi-Mature,31-60 years,Park
1070047,6,"-37.79506458, 144.9169894",,,,-37.79506458,144.9169894,,0,Peppercorn Tree,0,Schinus,1,0,0,,,Schinus molle,Schinus,Anacardiaceae,2006,19,Semi-Mature,61+ years,Park
1289961,6,"-37.78987883, 144.9246283",,,,-37.78987883,144.9246283,,0,Peppercorn Tree,0,Schinus,1,0,0,,,Schinus molle,Schinus,Anacardiaceae,2008,17,Semi-Mature,11-20 years,Park
1057134,6,"-37.79236344, 144.9227161",,,,-37.79236344,144.9227161,,0,Peppercorn Tree,0,Schinus,1,0,0,,,Schinus molle,Schinus,Anacardiaceae,1999,26,Mature,31-60 years,Park
1359258,6,"-37.81831157, 144.9453128",,,,-37.81831157,144.9453128,,0,Peppercorn Tree,0,Schinus,1,0,0,,,Schinus molle,Schinus,Anacardiaceae,2009,16,Semi-Mature,31-60 years,Park
1055815,6,"-37.79258157, 144.9569402",,,,-37.79258157,144.9569402,,0,Peppercorn Tree,0,Schinus,1,0,0,,,Schinus molle,Schinus,Anacardiaceae,1999,26,Semi-Mature,31-60 years,Park
1036913,6,"-37.80649198, 144.9722591",,,,-37.80649198,144.9722591,,0,Peppercorn Tree,0,Schinus,1,0,0,,,Schinus molle,Schinus,Anacardiaceae,1998,27,Mature,21-30 years,Park
1057302,6,"-37.79133177, 144.9242387",,,,-37.79133177,144.9242387,,0,Peppercorn Tree,0,Schinus,1,0,0,,,Schinus molle,Schinus,Anacardiaceae,1999,26,Mature,31-60 years,Park
